id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality
18463,K1F4,small_airport,Madill Municipal Airport,34.14039993,-96.81199646,890,US,US-OK,Madill
7796,12SC,small_airport,Over the Hill Airport,34.14139938,-80.74669647,250,US,US-SC,Elgin
46060,US-0147,small_airport,Wilson Airport,34.14170074,-100.1439972,1752,US,US-TX,Paducah
318195,8AL3,small_airport,Fricks Field Airport,34.1417667,-86.0885667,,US,US-AL,Boaz
338337,US-2241,closed,Kennedy Hall Landing Strip,34.14442,-107.77921,,US,US-NM,Datil
18717,K3M2,small_airport,Double Springs/Winston County Airport,34.144501,-87.327797,753,US,US-AL,Double Springs
20868,KPRZ,small_airport,Portales Municipal Airport,34.14550018,-103.4100037,4078,US,US-NM,Portales
14926,8GA0,heliport,Pinetree Heliport,34.145833,-84.229722,1060,US,US-GA,Cumming
23785,OK44,small_airport,Canyon Springs Ranch Airport,34.14619827,-96.07689667,625,US,US-OK,Bokchito
334454,US-1313,heliport,Glendale Galleria Emergency Helipad,34.146228,-118.256723,,US,US-CA,Glendale
23816,OK89,closed,Stuart Ranch Airport,34.1466,-96.15429,624,US,US-OK,Caney
334455,US-1314,heliport,Glendale City Center Emergency Helipad,34.146987,-118.255468,,US,US-CA,Glendale
18462,K1F0,small_airport,Ardmore Downtown Executive Airport,34.14699936,-97.12270355,844,US,US-OK,Ardmore
334456,US-1315,heliport,Glendale Police Helipad,34.147022,-118.249283,,US,US-CA,Glendale
341040,US-3121,heliport,Parker Indian Hospital Helipad,34.14703,-114.30329,,US,US-AZ,Parker
343585,US-3790,closed,Westlake Medical Center Heliport,34.147162,-118.82096,902,US,US-CA,Westlake Village
20799,KP20,small_airport,Avi Suquilla Airport,34.14891,-114.268362,452,US,US-AZ,Parker
344177,US-3951,closed,National Guard Airport,34.15059,-118.28229,,US,US-CA,Los Angeles
336066,US-1617,heliport,Kaiser Permanente Pasadena Heliport,34.150858,-118.141855,,US,US-CA,Pasadena
334457,US-1316,heliport,330 North Brand Emergency Helipad,34.151351,-118.25461,,US,US-CA,Glendale
24479,SC81,small_airport,Abbeville Airport,34.1515007,-82.35369873,550,US,US-SC,Abbeville
16781,CL62,heliport,Station 125 Heliport,34.151554,-118.697763,850,US,US-CA,Calabasas
16725,CL06,heliport,Glendale Adventist Medical Center Heliport,34.151708,-118.230561,717,US,US-CA,Glendale
334458,US-1317,heliport,400 North Brand Emergency Helipad,34.152008,-118.254578,,US,US-CA,Glendale
13940,77NC,small_airport,Winnabow Airport,34.15209961,-78.10549927,33,US,US-NC,Winnabow
342156,US-3329,closed,Waldrip Airstrip,34.152317,-110.939928,5607,US,US-AZ,Young
334459,US-1318,heliport,450 North Brand Emergency Helipad,34.152691,-118.254578,,US,US-CA,Glendale
343766,US-3810,closed,Wilson Airport,34.15312,-97.41892,946,US,US-OK,Wilson
336278,US-1724,heliport,500 North Brand Helipad,34.153202,-118.254717,,US,US-CA,Glendale
336279,US-1725,heliport,505 North Brand Helipad,34.1533,-118.255436,,US,US-CA,Glendale
14884,8CL3,heliport,NBC-TV Heliport,34.15359879,-118.3310013,505,US,US-CA,Burbank
21459,L80,closed,Roy Williams Airport,34.154202,-116.251999,2464,US,US-CA,Joshua Tree
11979,53TA,closed,Shivers Private Airport,34.154301,-99.264198,1215,US,US-TX,Vernon
336275,US-1721,heliport,550 North Brand Helipad,34.154303,-118.254615,,US,US-CA,Glendale
16625,CA95,heliport,St Joseph Medical Center Heliport,34.155314,-118.327759,568,US,US-CA,Burbank
16738,CL19,heliport,Bank of America Glendale Heliport,34.155373,-118.257008,560,US,US-CA,Glendale
336276,US-1722,heliport,Park Towers West Helipad,34.155608,-118.260924,,US,US-CA,Glendale
336277,US-1723,heliport,Park Towers East Helipad,34.15563,-118.260076,,US,US-CA,Glendale
9352,2CL7,heliport,Glendale Plaza Emergency Heliport,34.155692,-118.258515,904,US,US-CA,Glendale
13219,6CL5,heliport,Majlar Heliport,34.15670013,-119.1679993,2420,US,US-CA,Ojai
336271,US-1717,heliport,207 Goode Helipad,34.157037,-118.256401,,US,US-CA,Glendale
352875,US-6519,heliport,Jefferson County Hospital Heliport,34.15707,-97.97902,948,US,US-OK,Waurika
336266,US-1712,heliport,Monterey Island Condominium Helipad,34.157171,-118.253354,,US,US-CA,Glendale
7131,0CL4,heliport,Glen Fed Heliport,34.157179,-118.254637,770,US,US-CA,Glendale
11574,4MS4,small_airport,Spearman Field,34.15769958,-88.7602005,270,US,US-MS,Shannon
15481,96CL,heliport,Ranch Heliport,34.157704,-118.917802,1162,US,US-CA,Newbury Park
336272,US-1718,heliport,Embassy Suites by Hilton Helipad,34.157859,-118.257705,,US,US-CA,Glendale
336269,US-1715,heliport,800 North Brand Helipad,34.158076,-118.25446,,US,US-CA,Glendale
